week,predicted_precipitation_avg,predicted_precipitation_max,CITY,precipitation_avg,precipitation_max
201939,0.2654,1.3658,Angra Dos Reis,0.2654,1.3658
201940,1.7572,7.1824,Angra Dos Reis,1.7572,7.1824
201941,0.3507,1.205,Angra Dos Reis,0.3507,1.205
201942,0.9401,4.3491,Angra Dos Reis,0.9401,4.3491
201943,1.5685,7.8266,Angra Dos Reis,1.5685,7.8266
201944,1.6199,7.918,Angra Dos Reis,1.6199,7.918
201945,3.41,13.1618,Angra Dos Reis,3.41,13.1618
201946,1.2472,6.6875,Angra Dos Reis,1.2472,6.6875
201947,2.0663,7.9,Angra Dos Reis,2.0663,7.9
201948,3.4506,16.6088,Angra Dos Reis,3.4506,16.6088
